bugurt,prompt
"СУДАРИ, ПРИШЛА ВАШЕМУ ПОКОРНОМУ СЛУГЕ ВЕЛИКАЯ ИДЕЯ - ПУШКАНУТЬ ПЕРЕД ГОСПОДАМИ.   
@  
СУТЬ ТАКОВА, ЗНАКОМО МНЕ МНОЖЕСТВО АРИСТОКРАТОВ, КОТОРЫЕ ЧАСТО ПОСЕЩАЮТ БАЛЫ, НА КОТОРЫХ ДЕСКАТЬ ДЕЛАТЬ НЕЧЕГО, ДА СКУЧНО НА НИХ.  
@  
СИМ СЛУЧАЕТСЯ, КОГДА СОБРАЛИСЬ НИКОМУ ДОСЕЛЕ НЕ НУЖНЫЕ ГОСПОДА И ДАМЫ, КОТОРЫХ НЕ ВИДАЛ УЖЕ КАК ВЕК, И СТОЛЬКО БЫ ЕЩЁ НЕ ВИДЕЛ.  
@  
ПОРАССУЖДАТЬ О ВЫСОКОМ С НИМИ, САМО СОБОЙ, НЕ ПОЛУЧАЕТСЯ, ИЗ ЗА ЧЕГО ВЫКРУЧИВАТЬСЯ ПРИХОДИТСЯ СТАНДАРТНЫМИ МЕТОДАМИ — ИГРАТЬ В ПРИЗРЕННЫЕ ""ФАНТЫ"", ""ЛОТО"", ""КАРТЫ"", ""ГОРОДКИ"" И ТАК ДАЛЕЕ, ЧЕРТ ПОДЕРИ!   
@  
Я ПРЕДЛАГАЮ ШОКИРОВАТЬ-С ПУБЛИКУ НОВЫМ ФОКУСОМ — ПУШКАНИЕМ.   
@  
ДЛЯ НОВОГО ОТКРЫТИЯ В ДОСУГЕ ВАМ ПРИГОДИТСЯ: КЛИЗМА, ВОРОНКА, МАТУШКИН ПИРОГ БИСКВИТНЫЙ (НЕ НА КОРЖАХ, БЕСТОЛОЧЬ), КРАСИТЕЛЬ АЛОГО ЦВЕТА, ДА ПЫЛЬ ЗОЛОТАЯ (ХОТЬ И НЕ ВАЖНО ЭТО), И ВАНИЛЬ ДЛЯ ЯРКОГО И НЕЗАБЫВАЕМОГО ВКУСА.   
@  
СУТЬ В ТОМ, СУДАРИ, КОГДА ТЫ ОСОЗНАЕШЬ ЧТО ВЕЧЕР НАЧИНАЕТ НАПОМИНАТЬ УНЫЛУЮ КАРТИНУ, ТЫ ИДЁШЬ В УБОРНУЮ И ПРОДЕЛЫВАЕШЬ СЛЕДУЮЩЕЕ:   
@  
ПРОМЫВАЕШЬ ТРУБЫ АНАЛЬНЫЕ, КЛИЗМОЙ   
@  
ТАЗ МЕДНЫЙ ДОСТАЕШЬ, И ВКЛАДЫВАЕШЬ В НЕГО ПИРОГ МАТУШКИН  
@  
МЕШАЕШЬ ЕГО С АЛЫМ КРАСИТЕЛЕМ ДЛЯ ПОЛУЧЕНИЯ СООТВЕТСТВУЮЩЕГО ЦВЕТА  
@  
В СМЕСЬ ГОТОВУЮ ВАНИЛЬ ДОБАВЛЯЕШЬ  
@  
ОБИЛЬНО ПОСЫПАЕШЬ ВСЁ ПЕСКОМ ЗОЛОТЫМ   
@  
ВСТАВЛЯЕШЬ В ЗАД ВОРОНКУ  
@  
ДАЛЕЕ ТЕБЕ НУЖНО ПОПРОСИТЬ КРЕПОСТНОГО СВОЕГО СЕРГЕЯ, ЧТОБ ПОМОГ ЗАТОЛКАТЬ ТЕБЕ В ЗАД ЭТУ СМЕСЬ  
@  
НАРЯДИВШИСЬ, ВЫХОДИШЬ К ГОСТЯМ, САДИШЬСЯ НА КРЕСЛО, ЧИТАЕШЬ СТИХИ, ЧТОБЫ НЕ ВЫГЛЯДЕЛО ВСЁ ЗАМЕТНО ИЗЛИШНЕ. ВРЕМЕНИ У ТЕБЯ БУДЕТ В ОБРЕЗ, ПОЭТОМУ НЕ ТЕРЯЙ ЕГО ЗРЯ, ПОДОЙДИ К ГРАММОФОНУ, ЧЕРЕЗ КОТОРЫЙ ВЕСЬ ВЕЧЕР ИГРАЕТ БЕСОВСКАЯ МУЗЫКА С ПЛАСТИНКИ КОГО-ТО ИЗ ГОСТЕЙ И ПОСТАВЬ ПЛАСТИНКУ ПЕТРА ИЛЬИЧА ЧАЙКОВСКОГО - ТОРЖЕСТВЕННАЯ УВЕРТЮРА «1812 ГОД», СОЧ. 49   
@  
ПОКА ТЫ ВЫСЛУШИВАЕШЬ КРИКИ ""ЧТО ЗА ЧЕРТОВЩИНА ИГРАЕТ?"", ШАГАЙ ПОНЕМНОГУ В ЦЕНТР КРУГА ДА ОЖИДАЙ.   
@  
БЛИЖЕ К КОНЦУ НАЧИНАЮТСЯ ПУШЕЧНЫЕ ЗАЛПЫ, В ЭТОТ МОМЕНТ СРЫВАЙ С СЕБЯ ПОРТКИ И НАЧИНАЙ ПЛЯСАТЬ ГОПАК, А КОГДА ПУШКА СТРЕЛЯЕТ, ДЕЛАЙ ПРИСЯД И НАЧИНАЙ ИСПОРОЖНЯТЬСЯ НА КОВЁР АЛОЙ ВАНИЛЬНОЙ РАДУГОЙ.   
@  
БЫЛО БЫ ОТМЕННО, ЕСЛИ СМЕСЬ ПОШЛА БРЫЗГАМИ, А НЕ КОЛБАСКОЙ, В ЭТОМ СЛУЧАЕ ВСЕ ГОСТИ УДИВЛЯТСЯ НЕМНОГО БЫСТРЕЕ. ДАЛЕЕ ПРЕКРАСНО БЫЛО БЫ КРЕПОСТНОМУ СЕРГЕЮ НАЧАТЬ ЭТО ВСЁ ВКУШАТЬ, ТАК КАК ОН ЗНАЕТ, ЧТО ЭТО СЪЕДОБНО И ОЧЕНЬ ВКУСНО, В ОТЛИЧИИ ОТ ГОСТЕЙ.  
@  
КЛЯНУСЬ ЧЕСТЬЮ ЧТО СЛЕДУЮЩИЕ ГОДА ТРИ ВСЕ БУДУТ ГОВОРИТЬ ТОЛЬКО ОБ ЭТОМ.  
ПУШКАТЬ — ЭТО ЭЛЕГАНТНО, ЩЕГОЛЬСКИ И ПО ЮНОШЕСКИ.  
@  
—НУ ВЫ ДАЕТЕ ПОРУЧИК РЖЕВСКИЙ!",
"ОТЗЫВЫ В ПЛЕЙ МАРКЕТЕ  
@  
""НА МОЁМ СЯОМИ МИ 2 ЛАГАЕТ""  
@  
""НЕ ЗАПУСКАЕЦА, КОГДА ИСПРАВИТЕ ПОСТАВЛЮ ПЯТЬ ЗВЁЗД А ПОКА ОДНА!!""  
@  
""КОГДА УВИДЕЛА У СЫНА В ТЕЛЕФОНЕ, ЧТО В ЭТОЙ ИГРЕ ЕСТЬ ТЕРРОРИСТЫ, ПОДАЛА В СУД НА РАЗРАБОТЧИКОВ""  
@  
КОММЕНТАРИИ В СТИМЕ  
@",
"ЕРОХАБУИН ВОЖДЬ ПЛЕМЯ  
@   
ПИЗДИТЬ ССАТЬ НА ТРЯПКА МАМОНТ И КРУТИТЬ НА БОЛЬШОЙ КРАСНЫЙ ПАЛКА ЕОТГУТАНГ  
@   
СЫЧПАНЗЕ ВОЖДЬ ПЛЕМЯ  
@   
ЖИДКО ФУФУ ВОНЯТЬ НА ПАЛЬМА ОТ СТРАХ СОСЕДНИЙ ВОЖДЬ ПЛЕМЯ , ЧТО СТРАШНЫЙ ВОЖДЬ ПРИЙТИ ДАТЬ ПИЗДЮЛЯ ЗА ОБГАДИТЬ КОКОС",
"ГОСПОДА-С, ДАВЕЧА В РЕСТОРАНЕ НАБЛЮДАЛ СПОР ПОМЕЩИКОВ  
@  
А ТЕМОЙ СЕГО СПОРА, БЫЛО ТО, КАК ИХ КУХАРКИ ОКРОШКУ-С ПО ВЕЛЕНИЮ ГОСУДАРЕВОЙ ГОТОВИТ-С  
@  
ОДИН МОНСЕНЬЁР, СТАРОЙ ЗАКАЛКИ, КАК ГОВОРИТСЯ, ИЗВОЛИЛ НАСТАИВАТЬ, ЧТО ЛУЧШЕ ОКРОШКИ НА КВАСЕ-С - И БЫТЬ НЕ МОЖЕТ  
@  
ДРУГОЙ, ЧТО ПОМОЛОЖЕ, БЫЛ ТВЁРД В УТВЕРЖДЕНИИ-С, ЧТО НА КЕФИРЕ-С ПОЛУЧАЕТСЯ БОЛЕЕ УТОНЧЁННЫЙ ВКУС  
@  
НО Я ВАМ СКАЖУ-С, ЧТО ОКРОШКА ЛУЧШЕ ВСЕГО СДЕЛАННАЯ НА ПИВЕ  
@  
ВОТ ТОЛЬКО СОВЕТ МОЙ ВАМ, БРОСЬТЕ ВЫ ЭТУ ДУРЬ С ОВОЩАМИ, СМЕТАНОЙ ДА ПРОЧЕЙ НЕЛЕПОСТЬЮ  
@  
ТОЛЬКО ПИВО-С И ОКРОШКА ПРИГОТОВЛЕНА!",
"ЗАХОДИШЬ В МАРШРУТКУ  
@  
ВИДИШЬ ЧТО ТАМ ЕСТЬ ТОЛЬКО ДВА СВОБОДНЫХ МЕСТА  
@  
ОДНО С КРАСИВОЙ ДЕВУШКОЙ, ДРУГОЕ С БОМЖОМ  
@  
СОБРАВ ВСЮ УВЕРЕННОСТЬ/ЯЙЦА/СИЛУ ВОЛИ/АЛЛАХА В КУЛАК САДИШЬСЯ К ДЕВУШКЕ  
@  
ОНА ПЕРЕСАЖИВАЕТСЯ К БОМЖУ  
@  
БОМЖ ПЕРЕСАЖИВАЕТСЯ К ТЕБЕ  
@  
КАЗАЛОСЬ БЫ #БУГУРТ  
@  
НО ТЫ НЕ ОТЧАИВАЕШЬСЯ   
@  
ПЕРЕСАЖИВАЕШЬСЯ ОТ БОМЖА К ДЕВУШКЕ  
@  
ДЕВУШКА СНОВА САДИТСЯ К БОМЖУ  
@  
ПОВОРАЧИВАЕШЬ ГОЛОВУ  
@  
БОМЖ С ЕХИДНЫМ ВЗГЛЯДОМ СМОТРИТ НА ТЕБЯ  
@  
ВСЕ-ТАКИ #БУГУРТ",
"ЗУМЕР СОТВОРИЛ ХУЙНЮ, СНЯВ НА КАМЕРУ  
@   
ВИДОС ПОПАЛ В ИНТЕРНЕТ  
@   
— АРРРРЯЯЯЯ БЛЯ, ПОКАРАТЬ, НАКАЗАТЬ!  
@   
ВСЕОБЩАЯ ТРАВЛЯ ГЛУПОГО РЕБЁНКА  
@   
САМИ ТВОРИЛИ КУДА БОЛЬШУЮ ДИЧЬ В МОЛОДОСТИ   
@   
НЕ СНИМАЛИ, ПОТОМУ ЧТО КАМЕР НЕ БЫЛО",
"ПОСМОТРЕЛ ВИДЕО С ГАЙДОМ ""КАК НАДО ПРАВИЛЬНО ПОСТУПАТЬ В \*СИТУАЦИЯ НЭЙМ\*""  
@   
СПУСТЯ КАКОЕ-ТО ВРЕМЯ \*СИТУАЦИЯ НЭЙМ\* СЛУЧАЕТСЯ С ТОБОЙ  
@   
ВОВЛЕЧЁННЫЕ ВМЕСТЕ С ТОБОЙ В ЭТУ СИТУАЦИЮ ЛЮДИ ИМЕЮТ ДИАМЕТРАЛЬНО ПРОТИВОПОЛОЖНОЕ МНЕНИЕ СКАЗАННОМУ В ГАЙДЕ, ИНТУИТИВНО ОЩУЩАЯ КАК БУДЕТ ПРАВИЛЬНЕЕ  
@   
ОРУТ, ЧТОБЫ ТЫ СДЕЛАЛ КАК ОНИ ХОТЯТ  
@   
МОЗГ ПОДСКАЗЫВАЕТ ТЕБЕ, ЧТО ТЫ УЖЕ ПРОРАБАТЫВАЛ ЭТУ СИТУАЦИЮ В ГОЛОВЕ И ВООБЩЕ ИЗУЧАЛ ЕЁ  
@   
СТРЕМИТЕЛЬНО ОЦЕНИВАЕШЬ ПРОИСХОДЯЩЕЕ  
@   
ТВОЯ ТОЧКА ЗРЕНИЯ ВЕРНЕЕ  
@   
""НУ ЩА ВСЕМ НОС УТРУ!""  
@   
ПОД КРИКИ НЕГОДОВАНИЯ ИДЁШЬ ПРОТИВ ТОЛПЫ И ПОСТУПАЕШЬ ТАК, КАК БЫЛО СКАЗАНО В ГАЙДЕ...  
@   
...И ЖИДКО ПУКНУВ, ОБСИРАЕШЬСЯ  
@   
— БЛЯЯЯЯ, СЫЧЁВ, ТЫ КОНЧЕННЫЙ, ТЕБЕ ВСЕ БЛЯ, ВСЕ ГОВОРИЛИ КАК НАДО!  
@   
— КЕК, ПУК, НУ Я ВИДЕЛ ВОТ В ВИДЕО...  
@   
— ТЫ ДОЛБОЁБ!",
"ТЫ КОМПАНИЯ-ЗАСТРОЙЩИК В СПБ  
@  
КАЖДЫЙ РАЗ ПЫТАЕШЬСЯ ПОСТРОИТЬ МАКСИМАЛЬНО НЕПРИСПОСОБЛЕННЫЕ ДЛЯ ЖИЗНИ НОРМАЛЬНОГО ЧЕЛОВЕКА ЖИЛЫЕ КОМПЛЕКСЫ И МИКРОРАЙОНЫ НА 300000 ЖИТЕЛЕЙ  
@  
КАЖДЫЙ РАЗ ЛЮДИ ВСЁ РАВНО ЗАСЕЛЯЮТСЯ ТУДА И ЖИВУТ ГОДАМИ  
@  
ПОНИМАЕШЬ, ЧТО НЕТ СМЫСЛА ВЫКЛАДЫВАТЬ ДОМАМИ ДРЕВНИЕ СИМВОЛЫ ДЛЯ ОТКРЫТИЯ ПОРТАЛА В АД  
@  
ВЕДЬ ОН УЖЕ ЗДЕСЬ  
@  
АД УРБАНИСТИЧЕСКИЙ",
"НА ЛЮДЯХ БАЗИРОВАННЫЙ ШЛЕПА ГИГАЧАД  
@  
СИГМА ПАТРИК БЕЙТМАН  
@  
КАЖДЫЕ ПЯТЬ МИНУТ ГОВОРИШЬ ВУМЕН МОМЕНТ  
@  
НЕ СМЕЁШЬСЯ НАД ШУТКАМИ ВУМЕН  
@  
ПРЕДСТАВЛЯЕШЬ СЕБЯ ГЛАВНЫМ ГЕРОЕМ В ШКОЛЕ ГДЕ ВСЕ КРУТИТСЯ ВОКРУГ ТЕБЯ  
@  
ПОДБОРОДОК ОБРАЗУЕТ ТАКУЮ ФОРМУ ЧТО МОЖЕТ ПРОБИВАТЬ ДОРОГУ В АНТАРКТИКЕ ВМЕСТО ЛЕДОКОЛА  
@  
ПРЕДСТАВЛЯЕШЬ СЕБЯ ПСИХОПАТОМ ВЕДЯ СЕБЯ СЛЕГКА СТРАННО  
@  
@  
@  
@  
@  
ДОМА ДЕЛАЕШЬ ДОМАШНЕЕ ЗАДАНИЕ ПО ОКРУЖАЮЩЕМУ МИРУ С МАМОЙ  
@  
ПОЛУЧАЕШЬ ПО УШАМ ПОТОМУ ЧТО НЕ НАДЕЛ ШАПКУ В +10  
@  
ПРИХОДЯТ ГОСТИ КОТОРЫЕ ВЕДУТ СЕБЯ С ТОБОЙ КАК С РЕБЁНКОМ  
@  
ВСЕ ЭТО ЗАПИСАЛ ЕРОХА НА ТЕЛЕФОН ЧЕРЕЗ ОКНО  
@  
@  
@  
@  
@  
НА СЛЕДУЮЩИЙ ДЕНЬ В ШКОЛЕ ВСЕ ПОСМЕИВАЮТСЯ ПРИ ВИДЕ ТЕБЯ  
@  
В СПИНУ КТО-ТО ПЛЮЕТСЯ БУМАЖКАМИ  
@  
ЗАПИНАЕШЬСЯ ЗА НОГУ ГЛАВНОГО ЗАДИРЫ И ПАДАЕШЬ   
@  
НО ТЕБЕ ВСЕ РАВНО ТЫ ЖЕ ПАТРИК БЕЙТМАН  
@  
@  
@  
@  
@  
ПОСЛЕ ШКОЛЫ ТЕБЯ ВСТРЕТИЛА КОМПАНИЯ ПАРНЕЙ ВМЕСТЕ С ТЕМ САМЫМ ЗАДИРОЙ  
@  
ОНИ ИЗБИЛИ ТЕБЯ И НАКОРМИЛИ ГОВНОМ  
@  
ОНИ УШЛИ  
@  
В ОСТАВШЕЙСЯ КУЧЕ ГОВНА НАХОДИШЬ БУМАЖКУ С ССЫЛКОЙ НА САЙТ  
@  
@  
@  
@  
@  
ПОПАЛ НА ДВАЧ",
"ОЙ НУ ДАВАЙ СЛАВКА   
@  
РАССКАЗЫВАЙ   
@  
КАКАЯ ДЕВЧОНКА НРАВИТСЯ?  
@  
МАША ЕОТОВА МАМ...  
@  
МАША?  
@  
А ЧО ТЫ ЕЙ МОЖЕШЬ ДАТЬ СЛАВКА, ТЫ НЕ ПОДУМАЛ?",
"ИЗВОЛЬТЕ ПРЕДО МНОЙ ОБЪЯСНИТЬСЯ, СУДАРЬ ЗАМОРСКИЙ, В ЧЁМ ИЗМЕРЯЕТСЯ СИЛУШКА? НЕУЖТО В БОГАТСТВАХ?   
@  
ВОТ И БРАТЕЦ МОЙ НАМЕРЕН ДУМАТЬ, ЧТО В БОГАТСТВАХ  
@  
ВЛАДЕЕТЕ ВЫ БОГАТСТВАМИ, И ЧЕГО? Я ВОТ УБЕЖДЁН, ЧТО СИЛА В ИСТИНЕ, У КОГО ИСТИНА, У ТОГО И СИЛА  
@  
ВОТ ВЫ ОБЪЕГОРИЛИ КОГО-ТО, ДЕНЕЖНЫМИ СРЕДСТВАМИ ЧУЖИМИ ЗАВЛАДЕЛИ, И ЧЕГО ВЫ О СЕБЕ ПОСМЕЛИ ВОЗОМНИТЬ? ЧТО ДЮЖЕ СИЛЬНЕЕ СТАЛИ?   
@  
НЕТ, НЕ РОВНЯ ВЫ ЧЕСТНОМУ ГРАЖДАНИНУ, СУДАРЬ, В ВАШИХ ПОСТУПКАХ ПРАВДЫ НЕТ, А ТОТ КОГО ОБЖУЛИЛИ, ЗА НИМ ИСТИНА, ЗА НИМ И СИЛА",
"ВЕДЬМА, ЧЁРТ, ПЕТУХ, УБЛЮДОК, СУМАСШЕДШИЙ, НЕГОДЯЙ   
@   
ОСТОЛОП, КРЕТИН, ПОГАНЕЦ, ПЕНТЮХ, СТЕРВА, ШЕЛЬМА, ШВАЛЬ   
@   
МЕРЗАВЕЦ, ПОДЛЕЦ, ВЕДЬМА, ЧЁРТ, БЕС   
@   
БОЛВАН, ДУРАЛЕЙ, ДУРАК, ГОМОГЕЙ   
@   
МЫМРА, ЛОХУНДРА, СКОТИНА, ШАЛАВА   
@   
УРОД, ОЛУХ, ВЕДЬМА, ХОБЯКА, ПУТАНА",
"РЕШИЛ СТАТЬ ДИЗАЙНЕРОМ   
@   
НЕ РАЗОБРАВШИСЬ, УЖЕ КУПИЛ ГРАФИЧЕСКИЙ ПЛАНШЕТ   
@   
НАЧИНАЕШЬ ПРОБОВАТЬ   
@   
НЕ ПОЛУЧАЕТСЯ   
@   
КРАХ   
@   
ФИАСКО   
@   
ПОЛНОЕ РАЗОЧАРОВАНИЕ  
@   
СКАЧИВАЕШЬ ОСУ",
"А ЧТО ТЕБЕ ИЗ ""СОВРЕМЕННЫХ ВКУСОВ НЕЙМ"" НРАВИТСЯ?   
@  
РЯЯЯЯ НЕ РАЗБИРАЮСЬ В СОРТАХ ГОВНА  
@  
ОТПРАВИЛИ НА ДВАЧ  
@  
ТЕПЕРЬ РАЗБИРАЕШЬСЯ В СОРТАХ ГОВНА  
@  
ДРУГОГО ГОВНА",
"ТЕБЕ 8  
@  
БЕГАЕШЬ НА ДЕРЕВНЕ ПО ПОЛЯМ  
@  
СИДИШЬ В КУСТАХ  
@  
СИДИШЬ НА ДЕРЕВЕ  
@  
ТЕБЕ 20 ЛЕТ  
@  
- ОЙ, ТРАВА БОЛЬШЕ 5 СМ, ТАМ НАВЕРНОЕ КЛЕЩИ  
@  
ИНСУЛЬТ ОТ ПРОЛЕТЕВШЕГО МИМО ШМЕЛЯ  
@  
- ОЙ, КОМАРЫ, НЕ ПОЙДУ НА УЛИЦУ",
"НАЧАЛ ИЗУЧАТЬ ХИМИЮ АЛСО УОЛТЕР УАЙТ  
@  
НУ ТАМ МЕТАЛЛЫ С МЕТАЛЛАМИ НЕ РЕАГИРУЮТ  
@  
СЕРЬЁЗНО ОБРАЗУЮТСЯ ЦИНКАТЫ НАТРИЯ,   
АЛЮМИНАТЫ КАЛИЯ, ЙОБАТЫ ГОВНАДИЯ  
@  
НУ ТАМ ОСНОВНОСТЬ КИСЛОТ РАВНА КОЛИЧЕСТВУ ВОДОРОДА В НИХ  
@  
СЕРЬЁЗНО В H3PO2 (ФОСФОГОВНЯНИСТОЙ КИСЛОТЕ) ОДНО ОСНОВАНИЕ  
@  
НУ ТАМ У АЗОТА МАКСИМАЛЬНАЯ ВАЛЕНТНОСТЬ РАВНА ЧЕТЫРЁМ   
@  
СЕРЬЕЗНО В АЗОТНОЙ КИСЛОТЕ ВАЛЕНТНОСТЬ АЗОТА РАВНА ПЯТИ ПО ДВАЧЕРКСИ-БУГУРТСКОМУ МЕХАНИЗМУ  
@  
ДА НЕ СЛОЖНО ТАМ СОСТАВЛЯТЬ НАЗВАНИЯ ВЕЩЕСТВ ЧЕГО РАСКРИЧАЛСЯ   
@  
2,2,8-ТЕТРАПЕНТАГИДРОКСООКСООРТОХЛОРНОВАТИСТОСЫЧЕВЕЧТЕТРАПРОПИЛМУДИЛКУРИЛДЕБИЛГЕКСАН-1,4,4,8  
@  
С ЛИЦОМ ЛЯГУШКИ ВДЫХАЕШЬ О ДВА ВЫДЫХАЕШЬ ЦЕ О ДВА ВЫПИВАЯ С ДЕДОМ ЦЕ ДВА АШ ПЯТЬ О АШ",
"ВЫПИЛ ЦЭ ДВА АШ ПЯТЬ О АШ  
@  
СЕЛ НА НИВУ РОСТСЕЛЬМАШ  
@  
НА ДТ, ДОН 500, Т-150  
@  
ПОКОРМИЛ ПЕРЕД ЭТИМ ПОРОСЯТ  
@  
И ПОШЕЛ ЗЯБЬ ПАХАТЬ, МОЛОТИТЬ ЯЧМЕНЬ  
@  
БУДЕТ ДОЛГОМ ДОЛГИМ ДОЛГИМ ТВОЙ РАБОЧИЙ ДЕНЬ  
@  
НО ЗАТО ТЫ ЗНАЕШЬ КАЖДЫЙ ВИНТИК В ТРАКТОРЕ ВНУТРИ  
@  
ПОЛУЧАЕШЬ ЗА РАБОТУ В МЕСЯЦ ТЫЩИ ТРИ",
"НА ИНФОРМАТИКЕ ЗАПУСКАЕШЬ ОСУ  
@  
СЫЧУШ ТЫ БЫ ДЕЛОМ ЗАНЯЛСЯ, ОЦЕНКИ ПОДТЯНУЛ ШТОЛЕ)))  
@  
ЕРОХА ДЕЛАЕТ ТОЖЕ САМОЕ  
@  
ЕРОШ А ПОКАЖИ КАК ТЫ ЭТО ДЕЛАЕШЬ? МОЖЕТ И МЕНЯ НАУЧИШЬ?",
"ТЫ - МРАЗЬ  
@  
ВОТ ПРОСТО ЭТАЛОННАЯ МРАЗЬ  
@  
ГНИДА, ПРЯМИКОМ ИЗ ПАЛАТЫ МЕР И ВЕСОВ  
@  
УРОДЛИВ НА ВИД, КАК БУДТО ТЕБЯ ИЗ ЖОПЫ СОТОНЫ ДОСТАВАЛИ  
@  
ЦВЕТ СООТВЕТСТВУЮЩИЙ  
@  
ПОСМОТРИТЕ НА ЭТУ РОЖУ, ЧТО ОНА МОЖЕТ ДАТЬ МИРУ? ЗАЧЕМ ОНА СУЩЕСТВУЕТ?  
@  
МЕРЗКО ЗВУЧИШЬ, НАПАДАЕШЬ В КРЫСУ  
@  
МЕШАЕШЬ ЛЮДЯМ СПОКОЙНО ОТДОХНУТЬ  
@  
КАРАУЛИШЬ ИХ ВОЗЛЕ СОРТИРА  
@  
ЛЕСНУЮ ЖИВНОСТЬ КОШМАРИШЬ, ИБО УЁБОК  
@  
ПИЗДИШЬ СЛАДКОЕ  
@  
ТВОЙ ДОМ ВСЕ ОБХОДЯТ ЗА КИЛОМЕТР  
@  
ПОЛЬЗЫ ОТ ТЕБЯ - ХУЙ ДА НИХУЯ  
@  
ТЕБЯ НЕНАВИДЯТ ВСЕ, МРАЗЬ",
